subject_name,target_mode,perturbation_type,trial_number,trial_name,target_pos,changed_angels,error_angles
Lea,sequence,sudden,202,Sudden Perturbation,-1.0471975511965979,30,nan
Lea,sequence,sudden,203,Sudden Perturbation,-1.0471975511965979,30,0.1339886078830489
Lea,sequence,sudden,204,Sudden Perturbation,-1.0471975511965979,30,0.035932240079226796
Lea,sequence,sudden,205,Sudden Perturbation,-1.0471975511965979,30,nan
Lea,sequence,sudden,206,Sudden Perturbation,-1.0471975511965979,30,0.14743716412793806
Lea,sequence,sudden,207,Sudden Perturbation,-1.0471975511965979,30,0.0867383386759849
Lea,sequence,sudden,208,Sudden Perturbation,-1.0471975511965979,30,0.11864543179370113
Lea,sequence,sudden,209,Sudden Perturbation,-1.0471975511965979,30,0.01672084954280484
Lea,sequence,sudden,210,Sudden Perturbation,-1.0471975511965979,30,0.10742795360465596
Lea,sequence,sudden,211,Sudden Perturbation,-1.0471975511965979,30,0.07532889082834016
Lea,sequence,sudden,212,Sudden Perturbation,-1.0471975511965979,30,0.04273711963837301
Lea,sequence,sudden,213,Sudden Perturbation,-1.0471975511965979,30,0.05531809752622363
Lea,sequence,sudden,214,Sudden Perturbation,-1.0471975511965979,30,0.07852671523937338
Lea,sequence,sudden,215,Sudden Perturbation,-1.0471975511965979,30,0.11555434167368772
Lea,sequence,sudden,216,Sudden Perturbation,-1.0471975511965979,30,0.11967848927744495
Lea,sequence,sudden,217,Sudden Perturbation,-1.0471975511965979,30,0.009999666686665076
Lea,sequence,sudden,218,Sudden Perturbation,-1.0471975511965979,30,0.32779886773901423
Lea,sequence,sudden,219,Sudden Perturbation,-1.0471975511965979,30,0.08550529367820492
Lea,sequence,sudden,220,Sudden Perturbation,-1.0471975511965979,30,-0.051782933761206795
Lea,sequence,sudden,221,Aftereffect,-1.0471975511965979,30,-0.2913785908104627
Lea,sequence,sudden,222,Aftereffect,-1.0471975511965979,30,-0.14832795274234134
Lea,sequence,sudden,223,Aftereffect,-1.0471975511965979,30,-0.0171412967591853
Lea,sequence,sudden,224,Aftereffect,-1.0471975511965979,30,-0.02045803418234149
Lea,sequence,sudden,225,Aftereffect,-1.0471975511965979,30,0.040878756964051854
Lea,sequence,sudden,226,Aftereffect,-1.0471975511965979,30,-0.030298843409219733
Lea,sequence,sudden,227,Aftereffect,-1.0471975511965979,30,0.033974548313204345
Lea,sequence,sudden,228,Aftereffect,-1.0471975511965979,30,-0.02506396172352887
Lea,sequence,sudden,229,Aftereffect,-1.0471975511965979,30,-0.023713260866857322
Lea,sequence,sudden,230,Aftereffect,-1.0471975511965979,30,-0.052909029489180526
Lea,sequence,sudden,231,Aftereffect,-1.0471975511965979,30,-0.007759801010388756
Lea,sequence,sudden,232,Aftereffect,-1.0471975511965979,30,-0.035354102284714806
Lea,sequence,sudden,233,Aftereffect,-1.0471975511965979,30,-0.03837178303096245
Lea,sequence,sudden,234,Aftereffect,-1.0471975511965979,30,-0.051166619507198696
Lea,sequence,sudden,235,Aftereffect,-1.0471975511965979,30,-0.02986448888739557
Lea,sequence,sudden,236,Aftereffect,-1.0471975511965979,30,0.0020992514460747014
Lea,sequence,sudden,237,Aftereffect,-1.0471975511965979,30,-0.023437721850616322
Lea,sequence,sudden,238,Aftereffect,-1.0471975511965979,30,-0.05285908692317287
Lea,sequence,sudden,239,Aftereffect,-1.0471975511965979,30,0.013380371273249647
Lea,sequence,sudden,240,Aftereffect,-1.0471975511965979,30,-0.06277203358640215
Lea,sequence,sudden,241,No Perturbation,-0.5235987755982988,60,-0.470430429906993
Lea,sequence,sudden,242,No Perturbation,-0.5235987755982988,60,-0.07316017157464638
Lea,sequence,sudden,243,No Perturbation,-0.5235987755982988,60,0.037195493490126796
Lea,sequence,sudden,244,No Perturbation,-0.5235987755982988,60,-0.044388302897025445
Lea,sequence,sudden,245,No Perturbation,-0.5235987755982988,60,0.026930140713247896
Lea,sequence,sudden,246,No Perturbation,-0.5235987755982988,60,-0.04471810219248973
Lea,sequence,sudden,247,No Perturbation,-0.5235987755982988,60,-0.01449244017163398
Lea,sequence,sudden,248,No Perturbation,-0.5235987755982988,60,nan
Lea,sequence,sudden,249,No Perturbation,-0.5235987755982988,60,-0.017369270969432304
Lea,sequence,sudden,250,No Perturbation,-0.5235987755982988,60,-0.04903356107731949
Lea,sequence,sudden,251,No Perturbation,-0.5235987755982988,60,0.00010829689795655018
Lea,sequence,sudden,252,No Perturbation,-0.5235987755982988,60,-0.030578799855639938
Lea,sequence,sudden,253,No Perturbation,-0.5235987755982988,60,-0.05982929444269047
Lea,sequence,sudden,254,No Perturbation,-0.5235987755982988,60,-0.011674972491860336
Lea,sequence,sudden,255,No Perturbation,-0.5235987755982988,60,0.014260274952425211
Lea,sequence,sudden,256,No Perturbation,-0.5235987755982988,60,-0.009844093680513089
Lea,sequence,sudden,257,No Perturbation,-0.5235987755982988,60,-0.05487205423692454
Lea,sequence,sudden,258,No Perturbation,-0.5235987755982988,60,-0.009319422788583331
Lea,sequence,sudden,259,No Perturbation,-0.5235987755982988,60,0.019734412581902228
Lea,sequence,sudden,260,No Perturbation,-0.5235987755982988,60,0.04731139032914622
Lea,sequence,sudden,261,Sudden Perturbation,-0.5235987755982988,60,0.4519618007378708
Lea,sequence,sudden,262,Sudden Perturbation,-0.5235987755982988,60,0.2989915318840093
Lea,sequence,sudden,263,Sudden Perturbation,-0.5235987755982988,60,0.11617100722832674
Lea,sequence,sudden,264,Sudden Perturbation,-0.5235987755982988,60,0.05371857122827217
Lea,sequence,sudden,265,Sudden Perturbation,-0.5235987755982988,60,0.1362943075029906
Lea,sequence,sudden,266,Sudden Perturbation,-0.5235987755982988,60,0.059935582440249546
Lea,sequence,sudden,267,Sudden Perturbation,-0.5235987755982988,60,0.025890770730677637
Lea,sequence,sudden,268,Sudden Perturbation,-0.5235987755982988,60,0.019151722781411862
Lea,sequence,sudden,269,Sudden Perturbation,-0.5235987755982988,60,0.17430404699675817
Lea,sequence,sudden,270,Sudden Perturbation,-0.5235987755982988,60,0.03227203355585906
Lea,sequence,sudden,271,Sudden Perturbation,-0.5235987755982988,60,0.06440382794926852
Lea,sequence,sudden,272,Sudden Perturbation,-0.5235987755982988,60,-0.006111034624190492
Lea,sequence,sudden,273,Sudden Perturbation,-0.5235987755982988,60,-0.004452661351776022
Lea,sequence,sudden,274,Sudden Perturbation,-0.5235987755982988,60,0.014492440171633869
Lea,sequence,sudden,275,Sudden Perturbation,-0.5235987755982988,60,-0.03912084656127568
Lea,sequence,sudden,276,Sudden Perturbation,-0.5235987755982988,60,-0.06141744120650461
Lea,sequence,sudden,277,Sudden Perturbation,-0.5235987755982988,60,0.06440382794926841
Lea,sequence,sudden,278,Sudden Perturbation,-0.5235987755982988,60,0.005431695481349363
Lea,sequence,sudden,279,Sudden Perturbation,-0.5235987755982988,60,0.00931942278858311
Lea,sequence,sudden,280,Sudden Perturbation,-0.5235987755982988,60,0.14292458067496538
Lea,sequence,sudden,281,Sudden Perturbation,-0.5235987755982988,60,0.16302279573148654
Lea,sequence,sudden,282,Sudden Perturbation,-0.5235987755982988,60,0.05557793179406828
Lea,sequence,sudden,283,Sudden Perturbation,-0.5235987755982988,60,0.013874357240627577
Lea,sequence,sudden,284,Sudden Perturbation,-0.5235987755982988,60,0.022457643546915484
Lea,sequence,sudden,285,Sudden Perturbation,-0.5235987755982988,60,0.03842401147849639
Lea,sequence,sudden,286,Sudden Perturbation,-0.5235987755982988,60,0.0292997296053365
Lea,sequence,sudden,287,Sudden Perturbation,-0.5235987755982988,60,-0.0019124466631168513
Lea,sequence,sudden,288,Sudden Perturbation,-0.5235987755982988,60,nan
Lea,sequence,sudden,289,Sudden Perturbation,-0.5235987755982988,60,0.0032362089114645887
Lea,sequence,sudden,290,Sudden Perturbation,-0.5235987755982988,60,0.03872302678123091
Lea,sequence,sudden,291,Sudden Perturbation,-0.5235987755982988,60,-0.015535951350581945
Lea,sequence,sudden,292,Sudden Perturbation,-0.5235987755982988,60,0.023821777146273593
Lea,sequence,sudden,293,Sudden Perturbation,-0.5235987755982988,60,0.054538677139149616
Lea,sequence,sudden,294,Sudden Perturbation,-0.5235987755982988,60,0.08942017840277983
Lea,sequence,sudden,295,Sudden Perturbation,-0.5235987755982988,60,0.035666097051316514
Lea,sequence,sudden,296,Sudden Perturbation,-0.5235987755982988,60,nan
Lea,sequence,sudden,297,Sudden Perturbation,-0.5235987755982988,60,0.08660266746476603
Lea,sequence,sudden,298,Sudden Perturbation,-0.5235987755982988,60,0.03986330099908075
Lea,sequence,sudden,299,Sudden Perturbation,-0.5235987755982988,60,-0.049747439103538404
Lea,sequence,sudden,300,Sudden Perturbation,-0.5235987755982988,60,-0.032501415637436915
Lea,sequence,sudden,301,Aftereffect,-0.5235987755982988,60,-0.403043700981658
Lea,sequence,sudden,302,Aftereffect,-0.5235987755982988,60,-0.14033455861552824
Lea,sequence,sudden,303,Aftereffect,-0.5235987755982988,60,-0.08712718879090975
Lea,sequence,sudden,304,Aftereffect,-0.5235987755982988,60,-0.0801505577991376
Lea,sequence,sudden,305,Aftereffect,-0.5235987755982988,60,-0.012120406760841584
Lea,sequence,sudden,306,Aftereffect,-0.5235987755982988,60,-0.09553255952737072
Lea,sequence,sudden,307,Aftereffect,-0.5235987755982988,60,-0.07801460265219085
Lea,sequence,sudden,308,Aftereffect,-0.5235987755982988,60,-0.02678717207849246
Lea,sequence,sudden,309,Aftereffect,-0.5235987755982988,60,-0.08173785805335843
Lea,sequence,sudden,310,Aftereffect,-0.5235987755982988,60,-0.04831942426296332
Lea,sequence,sudden,311,Aftereffect,-0.5235987755982988,60,-0.017991684324452972
Lea,sequence,sudden,312,Aftereffect,-0.5235987755982988,60,-0.044106527510779925
Lea,sequence,sudden,313,Aftereffect,-0.5235987755982988,60,0.027892183446010133
Lea,sequence,sudden,314,Aftereffect,-0.5235987755982988,60,-0.014537623616388995
Lea,sequence,sudden,315,Aftereffect,-0.5235987755982988,60,-0.02256778783548896
Lea,sequence,sudden,316,Aftereffect,-0.5235987755982988,60,0.015501935431144642
Lea,sequence,sudden,317,Aftereffect,-0.5235987755982988,60,-0.004008055373250774
