subject_name,target_mode,perturbation_type,trial_number,trial_name,target_angles,circle_angles,error_angles
Lea,fix,sudden,123,Sudden Perturbation 2,0,3.8961665633638383,3.8961665633638383
Lea,fix,sudden,124,Sudden Perturbation 2,0,-10.912279129582775,-10.912279129582775
Lea,fix,sudden,125,Sudden Perturbation 2,0,-8.101807194361026,-8.101807194361026
Lea,fix,sudden,126,Sudden Perturbation 2,0,-2.4680232512778604,-2.4680232512778604
Lea,fix,sudden,127,Sudden Perturbation 2,0,-8.484115290504837,-8.484115290504837
Lea,fix,sudden,128,Sudden Perturbation 2,0,-11.718658797027373,-11.718658797027373
Lea,fix,sudden,129,Sudden Perturbation 2,0,-0.9266165572778654,-0.9266165572778654
Lea,fix,sudden,130,Sudden Perturbation 2,0,-9.233541552584144,-9.233541552584144
Lea,fix,sudden,131,Sudden Perturbation 2,0,-5.390233113512667,-5.390233113512667
Lea,fix,sudden,132,Sudden Perturbation 2,0,-1.876264616710949,-1.876264616710949
Lea,fix,sudden,133,Sudden Perturbation 2,0,-3.3583502328441264,-3.3583502328441264
Lea,fix,sudden,134,Sudden Perturbation 2,0,-0.3020632066959582,-0.3020632066959582
Lea,fix,sudden,135,Sudden Perturbation 2,0,-4.755232411478424,-4.755232411478424
Lea,fix,sudden,136,Sudden Perturbation 2,0,-0.9809171483951218,-0.9809171483951218
Lea,fix,sudden,137,Sudden Perturbation 2,0,1.5954374370959128,1.5954374370959128
Lea,fix,sudden,138,Sudden Perturbation 2,0,-4.241878278024399,-4.241878278024399
Lea,fix,sudden,139,Sudden Perturbation 2,0,-4.008707120638599,-4.008707120638599
Lea,fix,sudden,140,Sudden Perturbation 2,0,-6.7550161527556,-6.7550161527556
Lea,fix,sudden,141,Sudden Perturbation 2,0,-2.6956894675141805,-2.6956894675141805
Lea,fix,sudden,142,Sudden Perturbation 2,0,-3.5921384958004983,-3.5921384958004983
Lea,fix,sudden,143,Sudden Perturbation 2,0,-5.177536890193827,-5.177536890193827
Lea,fix,sudden,144,Sudden Perturbation 2,0,-8.136682618223023,-8.136682618223023
Lea,fix,sudden,145,Sudden Perturbation 2,0,-8.198590513648192,-8.198590513648192
